#,Element,Symbol,Atomic Mass,Type,Discoverer,Year
106,Seaborgium,Sg,266,Transactinide,Ghiorso et al.,1974
107,Bohrium,Bh,264,Transactinide,Armbruster and M??®nzenberg,1981
108,Hassium,Hs,267,Transactinide,Armbruster and M??®nzenberg,1983
109,Meitnerium,Mt,268,Transactinide,"GSI, Darmstadt, West Germany",1982
110,Darmstadtium ,Ds ,271,Transactinide,,1994
111,Roentgenium ,Rg ,272,Transactinide,,1994
112,Copernicium ,Cn ,285,Transactinide,,1996
113,Nihonium,Nh,284,,,2004
114,Flerovium,Fl,289,Transactinide,,1999
115,Moscovium,Mc,288,,,2010
116,Livermorium,Lv,292,Transactinide,,2000
117,Tennessine,Ts,295,,,2010
118,Oganesson,Og,294,Noble Gas,,2006
